"username","rating","helpful","total","date","title","review"
"Highlight_1976","5","14","26","16 November 2014"," Overrated mix of typical American Hollywood hero and sloppy storyline
","I really don't understand what everyone's great fascination is with this movie. There are a couple of good scenes, that are funny and have the right emotional level. There are some twists, that are way too predictable or too easily brushed off. While I used to like McConahey's acting, I think he has been way too over the top with his role in this one. I liked Anne Hathaway in a few of the scenes, as well as the daughter though. Character development is basically non-existent and I was pretty bored multiple times during the movie which left me disconnected to the characters and not caring about the end of the story. I really just hoped it would end at some point.<br/><br/>While the science behind it is truly fascinating, the movie is neither outstanding nor is the story. It has potential but is just so underdeveloped."
"80sHorror","1","31","66","21 February 2015"," ABSOLUTE Over-hyped TOSH
","AM I THE ONLY ONE ON PLANET EARTH WHO THINKS THAT THIS FILM IS ABSOLUTE TOSH? Perhaps I'm being unkind because I could only handle an hour before walking out. I thought the acting in particular was very poor. The storyline is twaddle - a farmer with flight experience finds NASA in an unspecified location with a rocket that is going to save Earth - a typecast Michael Caine (thank goodness it wasn't Morgan Freeman) opens the boardroom door and there is the rocket!. It seemed to me that used actual rocket launch footage? The time element is misused and the special effects are not that great. I thought Elysium knocked socks off this film. I did semi enjoy the water sequence but it was at the point where they get back to the mother ship that I walked ................ very quickly out of the cinema. Ps I love Matthew McConaughey in true detective and I can't believe I was looking at the same actor"
"grayscale117","3","31","66","15 November 2014"," Pile of Sentimaental Crap
","Note - the last two lines sum it all up if you want to skip my blathering. Interstellar is nothing more than a sci-fi drama. If you crave sci-fi movies as I do, this film will leave you feeling unfulfilled and usurped. It is about nothing more than ""the human element"" set against a semi sci-fi backdrop that is obscenely absurd. Happy ending? Not really, and what makes it worse is that's predictable early on. Should you bother to watch this film? Yes, I watch them all, probably because curiosity gets the best of me, and who knows, you might like it. I have been disappointed, read enraged, by other films much more than this one, but it failed to impress me. Maybe if I had sat down to this one expecting to be disappointed it might have been better, but to be quite honest, the trailers make it out to be something totally different than what you get. Sad thing is, too much film marketing goes this same way these days."
"berggrent-95739","1","6","9","21 March 2018"," Got an account just go give this movie 1/10
","That's right. What an horrible movie. Don't know what's worse, the pathethic acting from almost everyone (Damon won the price tho for insignificant character) or the robots with graphics similar to ""Cop"" from 1988. <br/><br/>HOW can so much people enjoyed this? The first two hours is a total sleepfest, until the twist at the end where at least something happen that's interesting and not pointless."
"cook-gareth","1","6","9","27 November 2017"," Self indulgent twaddle
","I've actually tried to watch this twice, once in the cinema (I walked out, something I've never done before in a film) and once at home on video. Both times I failed to complete the mission.<br/><br/>Please don't compare this stinking mess with Kubrick's epic ""2001 - A Space Odyssey"", it is not in the same league or even in the same universe! <br/><br/>With horrible acting and mumbling by Mr. McConaughey, incomprehensible jargon and pseudo-scientific mumbo-jumbo overlaid with Zimmer's monstrously horrendous score I will not try watching it a third time."
"deltaforce7","1","6","9","1 April 2016"," A sci-fi fan dares to rate this LOW
","This seemed like a complex, no basic entertainment-sort of a film-kind of experience. Should have been great as far as the concept goes. What I didn't like right away is the overall idea: IF there is a problem, then WALK AWAY. Meaning, the problem is never solved.<br/><br/>Also. Complex concepts are displayed in a matter of a few fragmented shots. Even those who are used to the Sci-Fi genre are confused. But the rest are lost. What's nice are the certain technicalities. But the human, physical side is difficult, unexplained, overly politically correct and accompanied by other things that don't get a viewer anywhere near the point of all this.<br/><br/>So, this could've been a real nice piece of a more intellectual sci-fi, but the makers of this movie got confused about how to depict such concepts."
"Valorum","1","6","9","25 November 2015"," Very Bad
","Before seeing it, I heard how apparently realistic this movie was in being true to the science. Yet it was anything but. The whole plot nonsensical. Not the worst movie I've seen (would rate it 5.0 if it wasn't for the incredibly high rating). I know I'm nitpicking here but: A saturn rocket type take off, yet they are able to get off another planet with similar gravity with a tiny shuttle which already used part of its fuel for landing. The spaceship rotated to create gravity however that would not mean there is any in the middle section where most of the scenes are. Not even gonna bother going into the worhmhole/bookase/mores code thing. Interesting concept but rather weak story."
"framptonhollis","7","6","9","29 August 2015"," Good, but Overrated
","This is a movie with plenty of things going for it. Great performances, incredible visual effects, an interesting story, and tons of really cool concepts, which make for a few genuinely powerful scenes, However, that doesn't make it the flawless masterpiece of cinematic genius everybody is labeling it as. There are tons of people giving this movie 10/10 ratings, leading to a user rating of 8.7, and it is now #29 on the IMDb top 250. WOW! That is a lot of praise! On the top 250, ""Interstellar"" is above ""Casablanca"", ""Raiders of the Lost Ark"", ""Psycho"", ""Apocalypse Now"", and ""CITIZEN KANE""! According to the users on IMDb, this movie's better than ""Citizen Kane"", which has been known as possibly the greatest film of all time!<br/><br/>Is is better than ""Citizen Kane""? No, not even close. The film is full of flaws, the biggest being the runtime. I may never see this movie again because of how long it felt! It feels like a lot of scenes are unneeded, and were made just so the movie could be longer, because Christopher Nolan wanted to make it seem really epic. I'm sure if Nolan cut a huge chunk of the movie out, it would've been better. A film by Nolan that is better than this one is ""The Dark Knight"", which has a somewhat long runtime, but it feels way shorter than it's runtime, and is extremely entertaining throughout. ""Interstellar"" is so long that it starts to really drag on and, at times, I began to just zone out.<br/><br/>The film is also a bit too dramatic. The dialogue about how ""love conquers all"" seemed very unnecessarily corny, as well as a few other select scenes in the movie. However, some sequences were quite powerful, especially the ending, which, actually, was kind of creepy. The concept of time was very prominent throughout the film, and it lead to some pretty creative and powerful sequences.<br/><br/>Overall, the film is recommended, but you should be warned that this movie was LOOOOOOOONG!!!!!!"
"tijane-637-40539","1","6","9","7 April 2015"," An Interstellar Scale Mess
","I'll start by saying this is not the worst film I have ever seen. It is the worst film I have ever seen given the resources and talents applied.<br/><br/>I am astonished at the rave reviews being lavished on a film that is neither remarkable visually nor original from a plot and story telling point of view.<br/><br/>In summary ""Interstellar"" is a poor remake of ""The Grapes of Wrath"" spliced onto an even worse remake of ""2001 A Space Odyssey"" rounded off with an ending that would've helped ""Knowing"" be a better film...if only it was an ending for that film...not this one. Though to be fair, on further contemplation the beginning has more in common with ""Field of Dreams"", what with the baseball and weird farmer character and all.<br/><br/>Seriously, imagine a version of ""2001"" where HAL is crossed with JaJa Binks....yep...I kid you not. To add to the mess we are also provided with a James Bond like evil genius complete with his own secret base....only he's not meant to be evil...he just turns out that way.<br/><br/>This strange concoction desperately tries to present itself as something original...but scene by scene we are continually presented with the badly rehashed ideas of others....combined with kind of ""science"" that makes ""Star Wars"" look like an academic treatise on the physics of space travel. Come to think of it ""Interstellar"" even tries for a few Jedi mind tricks here and there.<br/><br/>But don't despair because the film is only 14 hours long and when you do get to the end your spirits will be lifted by the thought that humanities future will be gestated by Anne Hathaway...thereby guaranteeing an endless supply of annoying actresses...that can't act.<br/><br/>As this review started....it's not the worst film ever made...but it rates as the biggest wasted opportunity in film history. Of the modern sci-fi films ""Oblivion"" is well ahead of this in virtually every respect....even with Tom Cruise in it!"
"n-arvind1","5","7","11","26 February 2016"," nonsensical
","I expected the world out of it, but in the end, it turned out to be utter nonsense.<br/><br/>I am not an expert on black holes but I do believe the theory most physicists and astrophysicists propound. that, if you enter a black hole, you will die. or near the event horizon, you will be stretched or mutilated or ultra compressed. etc.etc. and those theories are based on the millions of observations of star stuff being destroyed at the mouth of black holes.<br/><br/>but in the film, not only does the person survive, he goes into some dimension, where he is instructing his daughter from behind his books to tell him to not go. blah blah blah.<br/><br/>that dimension being built by some advanced race.. blah bla.<br/><br/>my only question is, why .. it sounds so BS. there is no point to build some advanced dimension. warning humans from the past to correct the future... the fact that the intelligent race exists must mean that everything went fine or was controlled in the past.<br/><br/>the whole ending makes no SENSE AT all. <br/><br/>people who are giving this film all 9 and 10-star reviews are just hypnotized to the extent that they have started believing that Nolan cant make bad films and their brains just reject the idea.<br/><br/>I am a huge Nolan fan but did not see this coming from the master... :(<br/><br/>p.s. film is at least 6 for me but the 1 is to balance the fake overall rating."
"laurentiucosma25","1","7","11","16 October 2015"," If you like Barbie films, than this is the one for you!
","Wow! This movie was so horrible that I needed to add a review, but adding a review required an account, so I did that too just to share my opinion about this Alice Goes To Wonder Universe crap. I've enjoyed almost all of Nolan's movies especially Batman series, but I have to say that with this film, he is off my list, period. So the story goes like the typical Hollywood bs, some random farmer/hacker/drone expert/pilot/father/emotionally balanced/wise guy just discovers some weird gravitational anomaly that leads him to some really hidden NASA headquarters where they plan a save the world mission but they did not have a pilot, but they are in luck because of Mud, who happens to be a pilot and so they set to save the world in a 20th century rocket combined with a very high-tech space ship that will blow you away but not them cause they are in cryo-sleep. Next mission objective is to fly trough a warm hole which you know in theory that it is created only when the space-time is bended due to enormous gravity, but they are bullet-proof so they have no problem passing trough it with their gravity proof suits. Can you imagine that? I can't. So they pass miraculously trough it and are plain bored, they have seen the show already, its like watching a game of football on a boring Sunday. So they arrive at this planet which has water on it but due to the gravity swings a tsunami just appears and they have to save their lives, where are the bullet-gravity-proof suits when you need them? So the rest boils down to the same fairy tale that's been going on from the start of the film, well they could just put Santa in the movie and still be credible. So, enough is enough, I will not waste any more time on this review as you should not waste yours on watching it. A walk in the park or a good book suggested by the other real reviews in here will make your day far more better. So, sadly, turn out that Idiocracy is not far away. 8.7 to this peace of crap? I hope is just a technical problem because if it is the other way around then no comment."
"OurManInHavana","5","7","11","5 October 2015"," A needlessly contrived display of self-indulgent filmmaking
","Nolan is shooting, photographically, some of the best shots in his career. It looks beautiful, not only the sequences in space but also the scenes back on Earth. In terms of sound and vision, it is gorgeous to look in. However once one goes deeper, things begin to slide. Performance is lacklustre, characters do not seem fully developed nor did I have time to invest interest in them. The narrative is exposition-heavy and will most likely lose you in regards to interest and logic after the forty minute mark. This is a deeply unsatisfying film, boring, nonsensical, and wannabe-pretentious (despite Nolan's fan-base being some of the more lowbrow members of the fan community.)"
"bob the moo","Null","7","11","19 July 2015"," It doesn't all work, but it is beautiful in its efforts
","I'd heard fairly mixed things about this film, and often heard praise for elements that I think one shouldn't lead with, so I did put off seeing it until very recently. The reason for this mixed reaction I guess if that it is a very mixed bag of a film, and I can see why people love it, hate it, and a bit of both. The plot sees a series of unexplained events bringing a farmer and former pilot into a group looking to save humanity from the earth, which is currently killing itself and threatening to take mankind with it. Looking to the stars, in particular a black hole which seems to have been placed nearby to allow for travel to much more distant worlds, he learns of previous missions to scout out other planets on the other side, and that he is needed to lead a mission to follow up the promising leads, leaving his family behind potentially forever.<br/><br/>To get it out of the way, there is a lot not to like about the film. It runs very long, and at some points this almost seems deliberate – like it has to be a certain length to be able to be called an epic. It also has variable pacing and plotting across this time, with some elements not making logical sense without even having to nitpick on technical details. However, while it doesn't all come together, the film is no less beautiful for what it does while it is trying to do it all. The visual effects are stunning, with believable space travel and worlds created, to the point that although a lot of it is technobabble, you do tend to go along with it and accept everything being laid out. Just as important as the technical, visionary stuff, is that the film has a very human heart throughout. It is surprisingly emotional, even when in the context of pure sci-fi elements; you do tend to buy characters as people, with their flaws, their pain, their motivations – it is surprising how strong the film is in this regard.<br/><br/>Part of this working is that the performances are universally strong, although to just pick one – Mathew McConaughey is really great throughout. His down-to-earth elements bring the viewer into the film, while he completely nails the emotional content, which again helps convince us of the reality of the situation and passage of time – because we see how it hits his character, so it must be real. The director marshals all this in a feast for the eyes, heart, and brain – it doesn't all work, like I say, and it is far from being the perfect, flawless film that some would suggest, but it is engaging, thoughtful, heartfelt, and very well made."
"dflan","1","7","11","11 June 2015"," This was really baaad
","From the moment this movie started it fell flat. The characterization development was not there. The plot was barely there and all over the place throughout the story. I wanted to sleep after 30 to 45 minutes because the acting was horrible and from even our seasoned favorite actors. WTH was going on within this almost THREE hours of screen time. I think a hit of acid may have helped to enjoy this movie as well as to diffuse the loud overbearing noise called music in it. Then I begin thinking to myself, ""hey, maybe they dropped some LSD or constantly hitting some bowls between takes while filming because it felt like I was in a serious haze of drugs due to everything so da*n flat. (this is suppose to be humor because I do not do drugs, but I was thinking I may need something to get through this one because it was painful really really painful) Poor execution in directing as well as thoughtfulness within the story trying to be told sorta like constipation."
"Horst_In_Translation","8","7","11","25 December 2014"," Maybe the most spectacular movie of 2014 and one of the best
","To this day , many people still talk a lot about Christopher Nolan's ""Batman""-trilogy, but here is his newest work: ""Interstellar"". He gets help from Michael Caine and Anne Hathaway again and a couple more familiar faces. One year after Cuarón with Gravity, he discovers the endless widths of space as well. The difference, however is that a large part of his movie, including the first 40 minutes or so completely, plays down on Planet Earth. However, it is also about survival in space, including two people instead of one though. Or you could probably say the whole human race and not one individual fate.<br/><br/>This is like our generation's ""Armageddon"", only that it is much better and much more edge-of-the-seat. The lead character is played by Matthew McConaughey, whose career is still on a massive high after numerous critically lauded performances and an Academy Award win. ""Interstellar"" is much more than Sci-Fi though. I personally found the film was at its best when it touched more the emotional relationships of the characters. The water planet sequence was incredibly well done. And right afterward, when Cooper (McConaughey) sees how his beloved family has aged and become parents, it is truly moving as well. I had a lump in my throat just like I did when he meets his very old daughter at the end of the movie. The inclusions with the old people telling about the past seem a bit odd at first, but make sense towards the end as we find out who is speaking there really.<br/><br/>Then, I also had a love-hate relationship with the Matt Damon parts. I found it pretty boring to be honest initially, but when we found out about his true intentions, it quickly turns into one of the best parts of the film. Nicely done. When Caine's character mentioned him with high praise early on, I felt there could be something fishy (like with Pixar's Up) there and yes it was. The ending of the movie with Hathaway's character completely alone out there made me think maybe there will be a sequel. Saving Private... ehh I mean Dr. Brand. Who knows? The time during which the whole film plays is also interesting. Somehow, the NASA lost a lot of their reputation and the moon landing is called fake in American school books. It is some point in the future. That much we know. David Oyelowo plays a small role here as one of the teachers. He has ""Selma"" in the race for an Academy Award nomination this year.<br/><br/>The ending of the film was not among the best scenes in my opinion, but I still liked it. The whole ghost explanation about Cooper being actually the one giving the signs was pretty exciting. The effects are brilliant of course, but that does not really need be mentioned for Nolan movies. A given. Hans Zimmer did a good soundtrack and there is also some comic relief coming from McConaughey's charm (if you like that) and some droll robot creatures. Anyway, I found the film interesting enough that I found it a bit sad they did not get to visit the third planet (with Hathaway's character's lover), only the water planet and the ice planet. I'd have loved to see that. However, maybe that could be a nice inclusion for a sequel as well. The movie never dragged despite coming pretty close to the three-hour mark. It could have run for another hour and I probably would not have been bored. There really was hardly anything wrong with it. Affleck's character did not do too much for me. He wasn't particularly well-acted and the character felt just included as a simple man who quickly gave up on his dad in order to show the contrast compared to Chastain's character: the ambitious loving smart daughter with a true connection to Cooper. John Lithgow plays a small role too and is fun to watch as always.<br/><br/>This is one of the movies I really recommend to watch, preferably on the big screen due to its sensational visual aspects. It's also good for a rewatch I believe, also to evaluate the characters' actions, especially Caine's for example. And the story of course. I believe, after one viewing, I am still far away from having understood everything that was going on, especially the scientific aspects. That however, does not hurt the viewing experience at all thanks to the film's great acting and emotional impact. If you are interested in space, you really have to see this too. It has distant planets, wormholes, black holes, spaceships and a lot more. Let me finish this review with two little snippets: First, the actress who played Murph as a child was the same that played Renesmee in the last two Twilight movies and, secondly, that fittingly Hathaway's character was called Amelia like the aviation pioneer Amelia Earhart. That can't be coincidence, can it? Especially with her last shot."
"dnikol76","3","33","71","17 November 2014"," As a sci-fi fan i'm not impressed!
","Unfortunately the film didn't reach the high expectations I had for it! I love sci-fi movies but Interstellar left me flat and disappointed.<br/><br/>First the opening hour of the film was boring and ordinary and the 'Earth's problem' with the sand storms was somehow underplayed and unmoving. I thought that maybe when they go in space things could get better... well, they did for a while but then the crew landed on the Ice covered planet and things got pretty sour.<br/><br/>The idea of Cooper getting into the dimensional space and wrapping the story with the beginning was good but then again the end was OK and obviously left for a 2nd film.<br/><br/>The sound was not good at all - I could barely hear and understand what they were saying, so maybe 50% of the films sound was a high pitched music overpowering the scenes.<br/><br/>At the end I thought - this is a film for people who doesn't like sci- fi movies, don't believe in life in other planets and are narrow minded and believe only in conventional science. I suppose they got to watch something like that and like it...<br/><br/>I appreciate the effort of everybody involved in this creation but it's not for me."
"christineewing1337","2","23","47","3 February 2015"," Wouldn't recommend.
","8.8? I'm just not feeling it.<br/><br/>Total ""snoregasm"", I swear. It's VERY slow to start, then disappointing once it does get going. I'm one of those that has to finish nearly every movie and book I start, no matter how bad. It took me 3 days to finish watching because I could only stand about 40 boring ass minutes at a time. Quasi-science muddled with current theory and overstretched artistic license, and let's face it; McConaughey as ""humanities last hope""? Yeah, we'd be screwed. He's not altogether that bad, but in reality the coolest thing about him is his Air-stream. The improbability levels in the ""science"" and the story make it difficult to get into it."
"rtneu","6","17","33","11 November 2014"," Bit too overrated
","I am sorry but found this movie to be highly over rated. It was high on visual effects but low on the content in terms of script, story and the future of the world basically.I am sure it will grab few awards in these categories.<br/><br/>There was a similar hype around Avatar but when I saw Avatar, it had something new to offer. Interstellar doesn't offer anything new as such.If you put the movie Gravity and the movie Frequency together in 5D, wormhole angle, you have Intersetllar.In fact I found Frequency to be highly underrated movie.<br/><br/>Acting/Direction is good but wished the script were much more stronger."
"AidanManchester","5","17","33","10 November 2014"," I so much wanted to like it but...
","I'm really sorry. I so much wanted to like this film. So much has gone into it and the concept is good, but it just didn't work for me. <br/><br/>I found this to be a compact and fanciful story stretched up to intergalactically implausible proportions. It didn't ring true, and it was full of Hollywood formulae, like clumsy cliffhangers. And why did we have to have a Western-style fight scene on an icy planet on the other side of a black hole? There were no punches thrown in 2001.<br/><br/>People will say it was too long but it wouldn't be any better if it was shorter. It is also an unremittingly dark and depressing film except for certain aspects. The brilliant special effects, loud sound track and music served to mask the shortcomings. <br/><br/>On the plus side it is thought-provoking about space and physics, the actors gave everything, especially the main character, he was brilliant - it didn't have George Clooney in it a big plus. The concept is excellent, and it dramatises aspects of Einstein's theory of relativity such as meeting your children who have grown older than you.<br/><br/>I hope a lot of people like it, as I wouldn't want all that effort and commitment to go to waste, so just ignore my opinion! Go and watch it and make up your own mind!"
"holloway-sarahjane","5","17","33","9 November 2014"," Could have been better
","Special effects are the real winner in this movie, not the plot, not the acting. Most of the story makes little sense and the characters are annoying, except for the ever charming Michael Caine. The plausibility factor was as poor as some 1950's sci-fi and less fun. Back to the Future was and is more interesting. I would have to say it was not a boring movie, but too much talking and teen angst out of adult scientists. Ann Hathaway has no place playing anyone with a PhD. The ""Dust Bowl"" effect was not terribly convincing, they could have made it seem a lot grimmer. There were too many ""that wouldn't happen"" moments for me, I couldn't suspend reality because they would keep mixing facts in and then do stuff that was pointless and unrealistic. The noise of the background was so loud often I couldn't understand the dialog, low bass organ music and rocket engine noise so loud my chair vibrated. The characters were doing things that didn't add to the story and just seemed immature, you almost couldn't root for the human race to survive."
"zemanel","1","17","33","9 November 2014"," bad movie
","I love sci-fi thrillers and all. I hated this one. There is something fundamentally wrong with this movie. The story reads as an excuse. An excuse to keep you in a room and play some space flight scenes. The film tried so much that ended up failing in everything. I think the problem is the blend of emotional crap with band-aid surrealistic physics that makes no sense just so that emotion could be the focus of this crap movie. I would really like to convey my opinion but this movie only left 2 brain cells properly working. It is that bad. I sincerely hope I make it. I have been drooling ever since I left the cinema."
"face-tommy","6","17","33","8 November 2014"," Not as good as it could be
","The movie is incredibly beautiful but it is not intelligent but is mostly a strange mix that does not quite know what it wants. I like it when science and technology are described believable which at times is the case here, but just as in the masterpiece in 2001, it falls hard when you mix in philosophy with a high level of abstraction. Of course there are more holes in the script than can be listed here. One obvious to me is that if the descendants of humanity are those that make us survive Who was it that saved us the first time?<br/><br/>We meet several parallel stories and my 14 year old daughter even shed a tear over something she could not quite explain afterwards. We meet the stories about how humans devastated the earth's resources, technophobia and heroes immortality. The only person who seems quite realistic, however, Matt Daemon. It's like his mixture of malice, selfishness and cowardice doing so the movie gets off the ground for a short while. And it is of course not good for a film largely set in space (pun intended)."
"indiedavid","6","17","33","7 November 2014"," Don't believe the hype
","""Interstellar"" was an above average film and I have no regrets spending a Friday night checking it out. Unsophisticated audiences may enjoy it if they don't analyze it too deeply. However, if you are one who understands the world of physics, aviation, or space travel, this one is hard to watch. There are a plethora of continuity issues as well as plot holes. It seems like Chris Nolan watched ""Gravity"" and decided he could make a really terrible film into something worth watching. He added the ""Contact"" premise and inserted some Physics theories and some expanded back story to create a mediocre film. I was hopeful that I would be impressed by the obviously inflated reviews but I wasn't. The guy next to me actually fell asleep during the first hour which was very grueling. Of our group, there were three thumbs down and one thumbs up."
"mmccord9126","4","17","33","7 November 2014"," A Bit of a Disappointment
","When I first heard of the making of this film, I had reservations about it. Then, I learned that a well-known scientist(Kip Thorne) was attached to it as a technical consultant and my interest began to increase. Getting it right, scientifically, seldom works with the film industry, although there have been limited occasions where it has. Avatar, Kubrick's classic 2001 back in 1968, and one even further back, Forbidden Planet (1956) show that it can be done.<br/><br/>With this in mind, I thought this might be one of those rare ones that could live up to my expectations. I mean, after all, Christopher Nolan and Thorne. How could it fail. I've always believed that, in order to make a quality science fiction film, you have to have a writer that knows what the genre is all about. In this case, there is not only the potential for quality writing from Nolan but also scientific expertise from one of the top scientist in the field - what could go wrong...go wrong.... Well, in spite of all that, it did just that.<br/><br/>Yes, it was a visual treat that applied all the wonderful effects developed over the years. And it did that very well. But that's not enough anymore; at least not for me.<br/><br/>What I experienced instead was story that was based on a premise that was faulty almost from the start with scientific shortcomings and implausible circumstances. And that's where the disappointment comes in for me. I can understand Nolan's possible lack of detailed knowledge of wormholes, time dilation, gravity effects, and the like, but how could a respected scientist like Thorne allow it? Unless of course he had little control over the film's production. Alas, that is probably the case.<br/><br/>I'm not going into any detail about the the actual story because that is already well documented in other reviews. I end with a final summary and opinion: If you know little about that actual scientific aspects of the various theories touched upon in this film, you'll probably find it entertaining. If, on the other hand, you have sufficient knowledge of what we humans actually know of such things; you too, may be a bit disappointed."
"alfa-624-376688","1","20","40","30 November 2014"," Miserable inter human nonsense
","Interstellar was supposed to be a cardinal point for mankind at this stage (2014) as far as technological science go and the perspective possibility or not of a new habitat in space.<br/><br/>It let me so down! Instead of a true vision for the future Interstellar works out an ordinary Hollywood blockbuster that vegetates on emotional blackmail in a father daughter relationship. Sorry Christopher Nolan but this is not what I payed for! Why should man go into space if all he cares about is miserable inter human nonsense? <br/><br/>The unprofessionalism of the astronauts is limitless. Austronauts don't go into space without a strict course. So not in Interstellar, in this movie the astronauts choose randomly with course to take. This is supposed to be science? Don't make laugh! What a drivel!"
"doom-ca","4","20","40","9 November 2014"," Ho Hum
","This movie is everything I expected it not to be. It was dramatic, but not in a good way. Over dramatic. Far, far too predictable, too Hollywood and anything, and I mean anything but scientific. I'm just going to ask this once - Chris,have you ever actually read any Stephen Hawking? Because then maybe the story line could have taken a turn toward science instead of fairy tale, Hollywood pump up the revenue box office production. Maybe someone on your crew could have consulted with Hawking and came up with an alternate ending. One where people who enter black holes get broken up into their atomic parts such as happens to even light. Instead of some fantasy land Disney ride. Wow what garbage.<br/><br/>The trailer in this movie made it look like an amazing adventure in deep space. And yes, don't get me wrong there is space, and a few time deadlines to add in some much needed suspense after one too many porch scenes with Grandpa drinking beer while tending the corn fields. However, what this movie lacked was a sense of logic. I mean really. Flat out.<br/><br/>The blight that is taking down the humans seems to be completely overlooked in the movie. There really is no information on it except, our atmosphere has a lot of nitrogen in it which is feeding the blight. ""huh?"" The earth is written off in this movie because of blight? This earth has survived, earthquakes, giant meteorites, plagues, famines, flooding and we are done in by a blight?<br/><br/>Fine, we can't feed people so we are headed for the stars, all covertly of course. And our hero just happens to stumble upon NASA. Which wants him to be the pilot, even though he's a reluctant farmer, who was a pilot - because as a pilot he's the best of the best with honors. The script felt like something I would read in an old spaghetti western Clint Eastwood movie. I feel like I threw money away on a cheap plot based on oversimplification of scientific notions and box office greed. And the end: omg it's ""time,"" no, no it's ""gravity,"" no it's time. Just stop. And our protagonist surviving a black hole. What? Because it's not a black hole? Human's built it? Future humans. Probably the one's from Futurama. OK I've seen enough roll credits. <br/><br/>However, that said, if you want some good sound, yes the sound was good. Good visuals, nothing gravity didn't do better, and descent acting, almost like Armageddon, yah know, the Bruce Willis stuff. Then indeed this is your movie. Trust me, this is no Inception. If you go, enjoy, just don't go in with high expectations (9.1 on IMDb? really?)or you'll be let down.<br/><br/>Oh and the 2001 monolith robots were the highlight of the movie for me. They were good for a couple of laughs. Have a good one."
"gem_frog","1","20","40","9 November 2014"," Why oh why did I not listen to reason?
","Was almost not going to give this movie a pass, having a feeling that it was going to be a bloated mess.<br/><br/>And oh my what a bloated, drawn out, rudderless and boring bloated mess it was!<br/><br/>I have never felt like walking out of the cinema while watching a movie but at the half way point of this film i was tempted, it was that bad.<br/><br/>The story was a meandering affair not really going anywhere from start to finish with nonsensical and cliché dross thrown in for good measure.<br/><br/>It didn't feel like a sci-fi, more like a soppy drama with a few sci-fi elements thrown in and the special FX where nothing special, a few OK scenes but for the most part it was bland bland bland.<br/><br/>I thought it was going to be an innovative, trippy Kubrikesque like film with a lot of bizarre and amazing visuals and strange and unique vistas and scenes, aliens, strange technologies, Otherwordly Gods!<br/><br/>Instead it boiled down to a silly soap opera with bickering astronauts and crying family members. Avoid."
"iamthomasedison","1","30","64","14 December 2014"," the most over rated movie of all time
","I love dramatic movies. I love Sci-Fi movies. I love most of Christopher Nolan's work. I was so excited to see interstellar after all the 10/10 reviews but after seeing it, I was thoroughly disappointed.<br/><br/>My actual rating is probably 6/10, I rated 1/10 to balance the other ratings.<br/><br/>!!!SPOILERS AHEAD!!!<br/><br/>Here are my major problems with this movie: 1)Over dramatized effects throughout 2)Every character except for 3 of them was just a red-shirt with no characterization, just created to be killed off 3)The science aspect was stupid, especially in the second half 4)Did this highly developed 5D race have any way to save humans besides creating a room, that a guy would go to to tell himself to go there so that he could send binary through a watch to his daughter that is older than he is? 5)The ending was a thorough disappointment. Everything was happy dandy and the whole human race was saved just because of data from a black hole? They never explain why that data is even useful 6)Poorly designed and explained apocalypse. Earth didn't seem to be in much peril. 7)Okay, when Mann blew the airlock, couldn't the others just TELL him that it would blow up half the ship instead of saying ""Don't do it, its not the right decision"" 8)Really? The voice of corruption is called ""Mann""? That was a stupid metaphor. 9)I don't think there was even enough water on Millers planet to make waves those big, seeing as it wasn't even knee deep. 10)Just wasn't what it was cracked up to be. The film was heavily lacking in character development and plot, the science aspect was unbelievable and stupid.<br/><br/>Parts that I liked (No, it didn't ALL suck): 1)TARZ was pretty cool. He was unique compared to all other robots from sci-fi movies I've seen. 2)The highly dramatized parts would have been good in moderation, and there were some good special effects 3)I didn't fall asleep which is good<br/><br/>I just can't believe so many people are raving over this movie. It's like they're too dumb to see past special effects and blaring music to see that the movie itself wasn't any good. People try to tell me the science in this movie could've made sense because it's not discovered yet. I think a planet with alien dinosaurs who speak English would have been more believable.<br/><br/>It's worth seeing so you can realize how wrong everyone is, but don't expect too much."
